"Months_active","Distance_from_work","Age","Disciplined","Children","Social_drinker","Social_smoker","Pets","Weight","Height","BMI","Absent_hours"
18,3.58,38,0,0,1,0,0,89,170,31,3
10,2.36,37,0,0,0,0,0,83,172,28,3
9,4.5,28,0,1,0,0,2,69,169,24,2
10,2.36,37,0,0,0,0,0,83,172,28,1
17,3.58,40,0,2,0,1,0,63,170,22,3
12,5.82,40,0,1,1,0,1,73,171,25,4
8,5.36,33,0,0,0,0,0,79,178,25,8
4,6.6,28,0,0,0,0,0,84,182,25,1
3,7.22,28,0,1,1,0,4,80,172,27,1
18,3.58,38,0,0,1,0,0,89,170,31,1
18,2.36,50,0,1,1,0,0,98,178,31,8
10,2.36,37,0,0,0,0,0,83,172,28,4
18,3.58,38,0,0,1,0,0,89,170,31,1
14,4.96,47,0,2,0,0,1,86,165,32,1
9,4.5,28,0,1,0,0,2,69,169,24,3
18,3.58,38,0,0,1,0,0,89,170,31,8
13,4.7,43,0,1,1,0,0,106,167,38,8
9,4.5,28,0,1,0,0,2,69,169,24,3
17,3.58,40,0,2,0,1,0,63,170,22,8
9,4.5,28,0,1,0,0,2,69,169,24,2
18,3.58,38,0,0,1,0,0,89,170,31,1
13,4.7,43,0,1,1,0,0,106,167,38,8
8,4.7,32,0,0,0,0,0,75,178,25,2
9,3.58,30,0,0,0,0,0,56,171,19,2
9,3.58,30,0,0,0,0,0,56,171,19,1
10,2.36,37,0,0,0,0,0,83,172,28,2
14,3.1,34,0,2,1,0,0,95,196,25,1
10,2.36,37,0,0,0,0,0,83,172,28,8
9,4.5,28,0,1,0,0,2,69,169,24,1
12,7.38,31,0,3,1,0,0,70,169,25,8
18,2.36,50,0,1,1,0,0,98,178,31,24
18,3.58,38,0,0,1,0,0,89,170,31,8
9,4.5,28,0,1,0,0,2,69,169,24,1
9,4.5,28,0,1,0,0,2,69,169,24,2
9,4.5,28,0,1,0,0,2,69,169,24,1
9,4.5,28,0,1,0,0,2,69,169,24,1
13,5.78,33,0,2,1,0,1,90,172,30,8
18,3.58,38,0,0,1,0,0,89,170,31,8
11,5.2,36,0,4,1,0,0,65,168,23,3
9,3.58,30,0,0,0,0,0,56,171,19,5
