"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Mercer County, Ohio",181.9,52606,40968,8.9,40.1,2.54,58.7,5.5,6.325515281
"Goliad County, Texas",139.8,49369,7531,15.3,45.8,2.54,57.6,9.3,5.702647658
"Hardeman County, Texas",142.3,36992,3840,18.7,42.3,2.42,51.3,5.9,11.03752759
"Milwaukee County, Wisconsin",189.9,42946,957735,22,34.2,2.44,38.1,9.3,4.989477448
"Clay County, Georgia",153.9,27512,3141,37.3,40.3,2.57,38.4,19.2,14.87889273
"Page County, Virginia",199.2,44851,23726,16.9,44.1,2.52,53.1,9.3,5.963302752
"Sioux County, Iowa",140.7,60205,34937,7.5,33.3,2.73,60.4,1.8,5.625717566
"Archer County, Texas",138.8,58867,8715,9.4,44.1,2.6,62,3,3.583061889
"Fredericksburg city, Virginia",180.3,51195,28118,16.8,29.4,2.46,33.7,8.9,4.269052202
"Burke County, North Dakota",166.8,62875,2308,8.3,36.5,2.25,60.5,2.3,6.75
"Chatham County, North Carolina",146.8,56797,70928,13.9,46.3,2.47,57,9,5.81829259
"Gasconade County, Missouri",180.8,44065,14858,13.5,45.6,2.35,56.6,6.1,6.720977597
"Oceana County, Michigan",153.3,41166,26105,20.1,42.3,2.6,57.1,8.7,4.930928626
"Dallas County, Iowa",132.6,79173,80133,6.2,34.7,2.69,61.2,2.6,6.526994359
"Barton County, Missouri",172.5,37581,11880,19.1,41.1,2.41,64.2,6.5,5.542168675
"Harrison County, Texas",176.3,48461,66746,17.1,37.5,2.76,53.3,7.7,5.790913336
"Madison County, Idaho",125.2,36065,38273,27.1,23.2,3.6,53.6,10.2,6.963315217
"Green Lake County, Wisconsin",169.7,51175,18856,11.3,45.2,2.36,57.4,5.7,3.697661773
"Franklin County, Vermont",187.8,59184,48799,9.1,39.9,2.57,53.4,4.9,4.602473498
"Los Angeles County, California",148.4,55686,10170292,18.7,35.6,3.02,42.4,10,4.70528099
"Monmouth County, New Jersey",168.6,87220,628715,8.2,42.3,2.67,53.2,7.9,4.571872443
"Rooks County, Kansas",164.7,48383,5174,12,43.9,2.28,57.4,4.1,5.273833671
"Yadkin County, North Carolina",179.7,40801,37585,17.2,42.9,2.45,53.1,8.3,6.549178376
"Pima County, Arizona",155.5,45871,1010025,18.7,38,2.49,44.9,10,5.501557741
"Burnett County, Wisconsin",190.1,41810,15159,16.5,50.9,2.08,59,7.5,4.96054115
"Switzerland County, Indiana",232.3,47606,10524,17.4,40.1,2.55,56.7,9.6,3.788224555
"Otsego County, Michigan",194.7,44693,24253,13.2,44.2,2.38,56.8,8.2,3.216430924
"Rapides Parish, Louisiana",189,40406,132141,19.8,37.4,2.68,44.2,8.6,4.202589635
"Lincoln County, Nebraska",167,49770,35656,14.5,40.1,2.34,55.2,4.2,5.843469064
"Del Norte County, California",185.4,41419,27254,22.4,38.8,2.55,40.8,11.5,9.278553175
"Hampton city, Virginia",190.3,47615,136454,15.2,35.4,2.51,41,9.8,4.72938218
"Cecil County, Maryland",195.5,62198,102382,10.6,40.1,0.0273,52.5,7.5,4.297102051
"Madison County, Texas",165.3,39030,14065,21.5,35.1,2.32,43.3,5.7,8.393501805
"Lexington County, South Carolina",166.8,54098,281833,13.8,38.5,2.54,52,7.5,5.524669383
"Greensville County, Virginia",174.7,36459,11885,25.1,42.9,2.17,38.4,6.4,1.886792453
"Knox County, Indiana",183.5,44077,37927,17.4,39.2,2.4,48.5,6.1,3.923660503
"McLean County, Kentucky",215.1,42288,9512,16.9,41.8,0.025,60.1,8.4,7.128810226
"Sunflower County, Mississippi",230.1,29227,27005,34.8,34.1,2.81,29.3,20.1,6.248990796
"Petersburg city, Virginia",224.4,32749,32477,25.8,39.5,2.44,29.5,13,4.372408594
"Sierra County, New Mexico",190.3,29036,11282,23.8,55.6,2.25,47.9,6.8,8.198614319
"Edmunds County, South Dakota",162.6,57148,3999,10.5,46.1,2.3,58.8,1.8,4.337050805
"Bledsoe County, Tennessee",171.4,34948,14502,28.5,42.9,2.75,50.7,9.6,9.152139461
"Coleman County, Texas",182.5,37497,8338,22.6,47.1,2.49,61.5,8.2,3.569230769
"Little River County, Arkansas",205.5,37691,12472,18.2,41.7,2.39,49.1,8.8,2.657444485
"Leavenworth County, Kansas",166.5,65549,79315,10.9,37.3,2.7,53.1,5.9,5.174510519
"Appanoose County, Iowa",176.1,40422,12529,17.5,44.7,2.28,56.2,6.6,5.4900366
"Plymouth County, Massachusetts",176,74576,510393,8.5,42.1,2.71,50.9,7.9,4.322689366
"Barnstable County, Massachusetts",163,64150,214333,8.9,51.3,2.24,53.2,7,3.521180903
"Reno County, Kansas",172.6,46533,63718,15.8,39.5,2.44,53.3,5.7,5.263956311
"Logan County, Arkansas",221.2,36391,21714,21.1,42.8,2.48,50.7,8.1,8.799648892
"Nicholas County, West Virginia",199.8,36375,25594,19.6,43.4,2.39,57.9,8.4,3.346456693
"Montgomery County, Georgia",163.1,36436,8951,22.4,38,2.62,45.1,6.7,6.796116505
"Montgomery County, Kentucky",205.9,41139,27608,20.8,38.8,2.61,48.4,10.4,5.746046657
"Hamilton County, Iowa",153.2,53691,15190,9.4,42.4,2.36,59.2,3.8,2.258064516
"Tulare County, California",155.2,42360,459863,28.1,30.3,3.36,47.5,12,6.825864335
"Rio Arriba County, New Mexico",155.5,34902,39465,24.1,40.1,2.86,41.9,11.4,3.902327704
"Autauga County, Alabama",178.3,54366,55347,13.1,37.7,2.68,54.8,7.6,5.87213091
"Bowman County, North Dakota",209.3,60946,3294,7.4,43.6,2.28,63.2,1.8,9.935897436
"Henrico County, Virginia",169.1,62446,325155,11,37.9,2.54,46.9,6.7,5.200247219
"Wheeler County, Texas",193.7,52548,5657,12,39,2.42,63.9,3.9,7.705934455
"Worcester County, Massachusetts",171.5,65217,818963,11.5,39.8,2.6,48.3,7.8,4.642829838
"Pulaski County, Arkansas",182.7,45698,392664,16.1,36.4,2.49,43.5,7.5,5.116648446
"Surry County, North Carolina",198.1,37915,72743,18.9,42.7,2.47,54.4,6.9,4.712239256
"Long County, Georgia",180.9,43193,17731,21.9,31.2,3.27,47.6,15.6,5.82010582
"Baldwin County, Georgia",186.1,37008,45459,29.5,34.1,2.62,34.6,8.4,3.145390664
"Riley County, Kansas",154.3,46468,75247,20.2,24.7,2.49,39.1,5.8,4.808994852
"Colquitt County, Georgia",184,33509,45844,26.5,35.5,2.86,47.2,8.3,6.092124814
"Grant County, New Mexico",159.4,38221,28609,19.1,46.5,2.37,45.8,9.7,5.998550199
"Alexander County, North Carolina",174.4,43043,37325,16.4,42.1,2.65,51.2,9,3.572800615
"Franklin County, Pennsylvania",162.2,50434,153638,11.9,40.9,2.56,55,6.9,4.842223007
"Delta County, Michigan",178.5,43338,36377,14.8,46.4,2.3,54,9.2,3.887024609
"Miami County, Kansas",150.2,63924,32553,9.5,40.4,2.55,59.3,5.6,6.683134349
"Uinta County, Wyoming",132.8,56800,20822,10,34.6,2.76,56.5,4.4,6.918371652
"Marshall County, Kansas",150.8,47901,9936,11.1,45,2.27,61.4,3,6.352683461
"Delaware County, Oklahoma",182.4,36424,41459,18.8,45.8,2.47,55,9.2,4.550418639
"Moore County, Tennessee",137.3,50358,6322,12.5,45.5,2.55,57.4,6.5,0.702028081
"Barren County, Kentucky",192,37666,43570,19.5,40.4,2.48,55.8,7.6,5.4866708
"Madison County, Montana",129.5,41539,7915,12.6,52.1,2.23,55.3,4.8,3.238866397
"Monroe County, Georgia",139.2,53542,27103,14.8,41.9,2.68,51.1,10.5,4.581280788
